pmt	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	50	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	50	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	50	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	51	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	49	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	50	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	50	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	49	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
413	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
412	121	50	50	50	50	50	49	49	50	50	50	50	50	50	50	50	
